,Date_reported,New_cases,SmoothedCases,cutDatesPV
5168,2020-06-24,8,14.018469482481537,0
5169,2020-06-25,5,13.71708432277264,0
5170,2020-06-26,9,13.490280789940668,0
5171,2020-06-27,9,13.333786003226187,0
5172,2020-06-28,23,13.243635031814094,0
5173,2020-06-29,2,13.216188286791176,0
5174,2020-06-30,23,13.248154067176843,0
5175,2020-07-01,11,13.336616200176767,0
5176,2020-07-02,4,13.479066395691465,0
5177,2020-07-03,12,13.673440538304456,0
5178,2020-07-04,9,13.91815768586948,0
5179,2020-07-05,11,14.212160059967543,0
5180,2020-07-06,18,14.554951834413075,0
5181,2020-07-07,4,14.946634093261897,0
5182,2020-07-08,7,15.387932981682212,0
5183,2020-07-09,4,15.880217853546638,0
5184,2020-07-10,23,16.42550616695589,0
5185,2020-07-11,24,17.026452024139704,0
5186,2020-07-12,22,17.68631561563751,0
5187,2020-07-13,17,18.408911416966212,0
5188,2020-07-14,10,19.1985337898015,0
5189,2020-07-15,32,20.05985963257265,0
5190,2020-07-16,13,20.997828863903685,0
5191,2020-07-17,15,22.01750474786621,0
5192,2020-07-18,32,23.123917311805005,0
5193,2020-07-19,20,24.32189428728423,0
5194,2020-07-20,10,25.615885042288088,0
5195,2020-07-21,6,27.009783792320672,0
5196,2020-07-22,36,28.506758914265543,0
5197,2020-07-23,17,30.109095391050623,0
5198,2020-07-24,7,31.818057259811766,0
5199,2020-07-25,19,33.63377641821687,0
5200,2020-07-26,24,35.555173285262946,0
5201,2020-07-27,12,37.57991366098351,0
5202,2020-07-28,11,39.70440475203514,0
5203,2020-07-29,38,41.92383181086823,0
5204,2020-07-30,12,44.23223526794887,0
5205,2020-07-31,85,46.622626713349604,0
5206,2020-08-01,38,49.08714069328424,0
5207,2020-08-02,44,51.61721810198521,0
5208,2020-08-03,53,54.203816022646215,0
5209,2020-08-04,46,56.83763823161515,0
5210,2020-08-05,45,59.509380230330464,0
5211,2020-08-06,50,62.209982587478706,0
5212,2020-08-07,69,64.93088651612631,0
5213,2020-08-08,98,67.66428591845622,0
5214,2020-08-09,174,70.40337053784779,0
5215,2020-08-10,68,73.14255529874077,0
5216,2020-08-11,56,75.87769133254535,0
5217,2020-08-12,33,78.60625454283023,0
5218,2020-08-13,37,81.32750783716257,0
5219,2020-08-14,91,84.04263335320503,0
5220,2020-08-15,66,86.75483116467255,0
5221,2020-08-16,196,89.46938112171847,0
5222,2020-08-17,66,92.19366472883542,0
5223,2020-08-18,56,94.93714436690742,0
5224,2020-08-19,186,97.71129779706574,0
5225,2020-08-20,48,100.52950680142546,0
5226,2020-08-21,129,103.40690005532097,0
5227,2020-08-22,79,106.36015189178146,0
5228,2020-08-23,153,109.4072404796311,0
5229,2020-08-24,61,112.56717102127769,0
5230,2020-08-25,147,115.85967177795379,0
5231,2020-08-26,85,119.30487291100177,0
5232,2020-08-27,162,122.92298012802718,0
5233,2020-08-28,90,126.7339567725624,0
5234,2020-08-29,126,130.75722912874974,0
5235,2020-08-30,140,135.01143017912943,0
5236,2020-08-31,41,139.51419673490167,0
5237,2020-09-01,51,144.28203367660478,0
5238,2020-09-02,214,149.33025697145388,0
5239,2020-09-03,89,154.67302419855784,0
5240,2020-09-04,92,160.3234575968009,0
5241,2020-09-05,97,166.29386028569166,0
5242,2020-09-06,231,172.59602147433483,0
5243,2020-09-07,138,179.24160137887276,0
5244,2020-09-08,102,186.24258144636644,0
5245,2020-09-09,306,193.61176057282154,0
5246,2020-09-10,84,201.36327353898915,0
5247,2020-09-11,196,209.51310408634362,0
5248,2020-09-12,211,218.0795621070417,0
5249,2020-09-13,159,227.0836924822209,0
5250,2020-09-14,255,236.54958229277457,0
5251,2020-09-15,207,246.50453352943254,0
5252,2020-09-16,357,256.97907009436466,0
5253,2020-09-17,250,268.0067508347348,0
5254,2020-09-18,224,279.62376457463733,0
5255,2020-09-19,248,291.86828858921,0
5256,2020-09-20,267,304.77959864711704,0
5257,2020-09-21,395,318.3969265673323,0
5258,2020-09-22,188,332.7580700990282,0
5259,2020-09-23,323,347.89776971013356,0
5260,2020-09-24,231,363.84587738512437,0
5261,2020-09-25,319,380.6253535513264,0
5262,2020-09-26,321,398.250139470232,0
5263,2020-09-27,245,416.7229634617408,0
5264,2020-09-28,430,436.0331497086403,0
5265,2020-09-29,387,456.15450757354995,0
5266,2020-09-30,363,477.0433867476812,0
5267,2020-10-01,415,498.6369885025086,1
5268,2020-10-02,442,520.8520251971293,0
5269,2020-10-03,466,543.5838184204139,0
5270,2020-10-04,605,566.7059202349632,0
5271,2020-10-05,364,590.070331613678,0
5272,2020-10-06,517,613.508377203758,0
5273,2020-10-07,424,636.8322761557964,0
5274,2020-10-08,611,659.8374253415755,0
5275,2020-10-09,502,682.3053845755495,0
5276,2020-10-10,617,704.0075244635042,0
5277,2020-10-11,1011,724.7092674955628,0
5278,2020-10-12,817,744.1748234476055,0
5279,2020-10-13,820,762.1722926454544,0
5280,2020-10-14,808,778.478986797205,0
5281,2020-10-15,1084,792.8867984500463,0
5282,2020-10-16,1186,805.2074380310432,0
5283,2020-10-17,998,815.2773529492265,0
