"Country","K1","K2","K3","K4","K5"
"Botswana",3.8573057572658715,29.37368918310264,37.000638096321275,33.19522982468125,30.665941136189147
"Brazil",27.75751858627924,37.27060653376127,49.64694016682458,48.235905207206,46.7631047697416
"BritishVirginIslands",0.9081324209747055,23.02746320563686,29.081576709918515,25.478283876927488,23.224179759966066
"Brunei",0.032482470841349795,1.2999671200072127,14.803543644626446,13.051944120560771,12.01917198979648
"Bulgaria",22.774141204722227,27.52353336714681,36.418405546183045,33.24226274754625,31.059545190458195
"BurkinaFaso",28.454090944273524,30.85947144306962,32.00821484553988,28.701778399651396,26.492331725075864
"Burundi",0.6279356745014656,20.606467039935705,27.144093354333016,24.137069645982262,22.250256275751376
"Cambodia",0.3344063940928814,57.13783999746099,49.58646103105804,44.39765747151903,40.94270157100185
"Cameroon",15.146746799987342,37.99458971137454,33.93930732875571,30.92387069152175,28.792507574958815
"Canada",14.408558384314919,19.0423211582076,42.60007632851107,38.51383335251485,36.080136100218795
"CapeVerde",6.869753276827689,13.1579807059298,24.216354018468174,21.608677856361645,19.944788663661054
"CaymanIslands",1.1414511351744787,42.8376735031718,61.21145968310785,54.79609322162432,50.52081629575632
"CentralAfricanRepublic",64.74444285802896,65.84790732406589,57.940303602683194,51.647010448746755,47.545360298335396
"Chad",32.756655800891544,56.89678928819997,56.977628179079424,51.453524551805316,47.681198929950696
"Chile",14.844463504930774,18.562014072699593,50.39146274044386,46.04055723412387,43.27242259978718
"China",0.04941113344307271,0.03540968205848926,24.81208161461533,29.75309092049858,27.008986766604878
"Colombia",13.838390901975497,24.255403044325394,24.281960385592313,22.604929794985757,21.2109333886834
"Comoros",2.5144753116669776,20.591081361699047,26.212550975556155,23.055500415471297,21.093155005136214
"CookIslands",0.,0.,16.473329323621098,14.406070941348204,13.120748667444401
"CostaRica",8.537730572043134,12.64236997407746,18.80566778762832,17.807453480794923,17.10523079345892
"Croatia",12.322460510707014,15.077867314424001,19.326206911148297,17.5869910112335,16.321102569116807
"Cuba",0.31605280174327227,27.56621633045968,23.44713859472847,20.854781444551417,19.17112778959411
"Cyprus",2.2047376106208243,5.340561746070572,19.332776806182757,17.36312239494112,16.077079536463884
"CzechRepublic",23.68748054052321,33.95048800687487,47.303687985594266,42.69222330001617,39.63183383309345
"DemocraticRepublicCongo",11.24831039617082,32.039659777071336,30.92952694610873,27.846422118911786,25.85076452846088
"Denmark",1.608097363177703,3.557119333566043,17.847327496939123,15.70121400690969,14.363947608497298
"Djibouti",53.36366297016263,59.789393382146365,52.83346041566003,46.93232986360353,43.108851898536834
"Dominica",0.7254436774828543,32.912592389587054,43.95069612965018,39.30279523441756,36.305816363131356
"DominicanRepublic",18.582404023027813,19.281422478121197,39.01721464362979,36.101019027930036,33.82873123379825
"Ecuador",15.18850557785425,18.675566095614585,44.59716006574968,41.225886682863674,38.69300399722431
"Egypt",59.24202129827029,56.34780396560072,69.24959508879904,65.99275868042177,62.55669484466546
"ElSalvador",27.573185862524195,26.31758158203361,51.36474850715612,48.202111864294,45.3839332843894
"EquatorialGuinea",55.55227422010968,61.012518356288794,60.826981371892586,55.22830402199784,51.28113335460153
"Eritrea",12.264240686640203,41.095750450679155,41.695423517200794,37.902630196207,35.19766720853335
"Estonia",7.077418337192428,17.3107573420669,49.523422361483426,44.00126892748162,40.486284156654406
"Ethiopia",10.361623869251012,14.301263037205164,16.393977407380646,15.101106627856137,14.134404146962432
"FalklandIslands",0.6632110900182868,0.7663041364526253,31.43151829882833,27.317021395413786,24.8149662626446
