"Country","K1","K2","K3","K4","K5"
"Bulgaria",11.387070213359616,13.761766244196899,18.209202280956646,16.621130924608817,15.720442428132287
"BurkinaFaso",14.227045046456361,15.429735185903724,16.00410707436837,14.350888880045037,13.42593932827431
"Burundi",0.31396784100210967,10.303233403492559,13.572046610233162,12.068732195436638,11.277137800010388
"Cambodia",0.16720321116123002,28.5689220615051,24.793232299208075,22.19883033493148,20.749255658686256
"Cameroon",7.573373264900067,18.9972948783686,16.96965368030034,15.461935351720166,14.572253822157755
"Canada",4.802852517812055,6.347440012051344,14.20002535023284,12.8379443359345,12.155448230357425
"CapeVerde",3.4348764083307795,6.57898975246784,12.108176681715495,10.804338614438112,10.107180902560167
"CaymanIslands",0.38048371546858484,14.279224137096765,20.40381965169616,18.265364190938215,17.070646672658626
"CentralAfricanRepublic",21.581481356735527,21.949302856240465,19.313434888376406,17.215670475311377,16.069056667355593
"Chad",10.918885354052863,18.965596759268948,18.992543377075656,17.151175429219848,16.09890197301696
"Chile",4.948154280625313,6.187337825906958,16.79715408564455,15.346852239883813,14.570926963788795
"China",0.016470378107782613,0.011803227432051658,8.270693804968126,9.917696721050877,9.147187660217563
"Colombia",13.838391378378464,24.255404809224768,24.28196173138969,22.60493101915965,21.441797708048483
"Comoros",1.2572376479112317,10.295540633017513,13.106275604031017,11.527750310785951,10.703026303552905
"RepublicCongo",13.46198102232001,16.89246147661116,18.977390522309783,17.465997360559594,16.518807387729755
"CookIslands",0.,0.,16.473329549168454,14.406071137197316,13.321504101351433
"CostaRica",8.537730390135003,12.642369930046671,18.80566768890077,17.807453368975008,17.233943292818527
"IvoryCoast",8.822026647773116,10.47082610604689,14.128515947081361,12.829404220655649,12.067256926803365
"Croatia",12.322461105141091,15.077867915852858,19.326207734865346,17.586991758851774,16.556897191952793
"Cuba",0.31605281010577224,27.566216422800537,23.447138695804956,20.85478153506041,19.44175838029729
"Cyprus",2.2047376098723928,5.340561678580776,19.33277708929511,17.365840366350557,16.311966506138543
"CzechRepublic",7.895826923729013,11.316829480387232,15.767896025851325,14.230741143406917,13.397430092164505
"DemocraticRepublicCongo",5.624155218333959,16.01982950129928,15.464763177652413,13.923210808885097,13.079838664048216
"Denmark",1.6080972997929512,3.5571191129060193,17.847327195799128,15.701213737950345,14.577679444157491
"Djibouti",17.787887564731168,19.929797576917732,17.611153299858472,15.644109802207476,14.574206089109328
"Dominica",0.36272186386366145,16.456296813521558,21.975348441959223,19.651397959751044,18.396089110512403
"DominicanRepublic",6.194134315452088,6.427140405283758,13.005737883522897,12.033672647971791,11.40376303532197
"Ecuador",4.904646007264836,5.967486526862893,14.267461701218748,13.177431345342894,12.492863898283051
"Egypt",19.74734065497644,18.782601728483517,23.083198727009098,21.99758658307737,21.05376920704077
"ElSalvador",9.191062325733476,8.772527617831583,17.12158349182056,16.067371243919535,15.28848728739616
"EquatorialGuinea",18.51742588978296,20.337507374340184,20.30245626908757,18.4316451872783,17.32973624776181
"Eritrea",6.132120285285322,20.5478754201583,20.847711845108503,18.95131518634729,17.82092770543758
"Estonia",2.3591394550250815,5.770252490157221,16.507807712718943,14.667089873366319,13.688423564664292
"Swaziland",2.897226945532033,18.35240181214764,15.589591972620537,13.794473273777722,12.843458474837705
"Ethiopia",10.361623075367078,14.30126205607489,16.39397664164343,15.101105893376454,14.296565634594922
"FalklandIslands",0.2210703736600914,0.25543471866450423,10.477173073313379,9.105674066064463,8.403265282660186
"FaroeIslands",0.3719731207965945,2.2754732804144693,16.7166108415815,14.58793908901791,13.487046843850212
"Fiji",0.02230108054240536,20.95188370676749,17.73629626585774,15.586559406318488,14.458770662273396
"Finland",1.4578549542604924,9.864574467340097,23.586032097796398,21.315554535219313,20.09771493958462
"France",3.2853763347972493,3.9184790768318143,16.77422625305604,15.81839168891787,15.81839168891787
"FrenchGuiana",3.298572369474104,4.229037225765096,11.145182995162404,10.005695365180879,9.366004620948823
"FrenchPolynesia",7.864648084012894,14.681904389766768,15.73496511787694,13.89333390098737,12.92166515115948
"Gabon",9.969076785140992,16.867675627791495,18.757974721840547,17.180363651244623,16.207243754651877
"Gambia",20.97467733548482,20.947717834755505,19.198617398117197,17.157771383152088,16.029917073516092
"Georgia",5.969815498652701,7.274822929007222,14.937915677256456,13.326464118206314,12.467116127692373
"Germany",3.1120561562657754,5.3467814922130055,21.664090794909878,20.481175958979062,20.481175958979062
"Ghana",18.53414779718384,21.08039312368757,20.656348936978798,19.124348768179704,18.12030947907263
"Gibraltar",4.461979819633065,13.148594513036798,20.929215383602926,18.8642995715616,17.71149815437458
"Greece",2.1031660789665314,5.129172117224017,18.79651118407541,16.868617084875485,15.949480450523602
"Greenland",0.043017981502224,1.7641099751757088,12.129701475935816,10.560317092929163,9.753264405847776
"Grenada",0.38537795338308156,12.746626273378295,18.090403814326528,15.961338606072687,14.82920424115582
"Guadeloupe",2.0057010104023703,8.366271472735633,15.18674315913882,13.55390864385698,12.674687023250325
"Guam",3.9038385782709755,4.304214654124778,13.800742617440537,12.186289487609203,11.36629181745869
"Guatemala",6.759860371988615,17.200108623249935,20.438786998793258,19.573214713458796,18.992397280566905
"Guinea",10.765720588994332,14.52134247286829,16.636849509017715,15.52690891974815,14.779243630027125
"GuineaBissau",18.488413605013026,21.161257680494366,20.74229995896493,19.171476443368025,18.1281418517172
"Guyana",2.2557705806780035,5.857361264574944,12.768040003592438,11.43349066151952,10.69597452847582
"Haiti",24.810162119092087,23.13033289487012,21.891615652865067,20.499269623080032,19.479311544914886
"Honduras",19.013636583633435,26.010672255012256,24.764175946704377,24.463198079334244,23.83452073179752
"Hungary",10.368283451355921,16.18757066125165,18.42106902514585,16.79441188981702,15.859190408672205
"Iceland",0.8457609058580913,2.0329969689038716,17.75535372720974,15.63580725173947,14.520009149975655
"India",7.7262552930320565,19.386131767246546,18.579144431488768,16.69591683922171,15.640411213192904
"Indonesia",3.889797463785004,17.543689410842013,19.413757147505873,17.508917871549468,16.444600513273073
"Iran",9.290985321562593,23.302445316081915,22.490676475293164,20.967995317113868,19.945409773610045
"Iraq",14.073038977704352,23.760252887032564,22.52427202455988,21.33752121467917,20.374404550211107
"Ireland",1.3587120532236863,6.232040670037859,13.627384015094405,12.165484497697635,11.365769201238967
"Israel",2.0463071025311645,3.527516865286599,14.422790902357294,12.74494113309801,11.864448908512847
"Italy",5.349594546432155,4.842184890756079,17.95503348164972,16.220007037886923,15.352668416691117
"Jamaica",3.661841559227482,13.713757586259897,16.795559222252404,15.226000619995016,14.349363185288274
"Japan",0.35391782294085394,1.95984565191744,22.120902550165322,21.247226097803548,19.969827763398417
"Jordan",8.094351089921139,10.042005088681695,15.434895108426272,13.859873130931256,12.969593834809132
"Kazakhstan",5.247656145573075,14.425665154107822,17.29593666179815,15.705843605185068,14.77846876519611
"Kenya",13.128182498737992,16.52306054840528,17.79144488315788,16.390869431244628,15.508610436948672
"Kiribati",0.,0.,11.366249451548372,12.362186253227438,11.412338041474968
"Kuwait",5.296618306770016,8.666559210594928,15.674228610932708,14.280097907983528,13.449254486398878
