"Country","KD","KW","KM","KD0.5","KW0.5","KM0.5","KD1.5","KW1.5","KM1.5"
"CookIslands",29.464658191924396,32.946658647242195,35.49117129551973,14.732329095962198,16.473329323621098,17.745585647759864,44.19698728788659,49.41998797086329,53.23675694327959
"CostaRica",37.7020549618197,37.61133557525664,44.45007487860685,18.85102748090985,18.80566778762832,22.225037439303424,56.55308244272955,56.417003362884955,66.67511231791028
"IvoryCoast",23.21972679357608,28.257032201498383,40.025550163411374,11.60986339678804,14.128516100749192,20.012775081705687,34.829590190364115,42.38554830224757,60.038325245117065
"Croatia",38.601001782881475,38.652413822296595,48.27685004358677,19.300500891440738,19.326206911148297,24.138425021793385,57.90150267432222,57.97862073344489,72.41527506538016
"Cuba",46.047429009216145,46.894277189456936,46.26399459756812,23.023714504608073,23.447138594728468,23.13199729878406,69.07114351382421,70.3414157841854,69.39599189635219
"Cyprus",38.714516058105666,38.665553612365514,55.89748136980598,19.357258029052833,19.332776806182757,27.94874068490299,58.0717740871585,57.99833041854827,83.84622205470897
"CzechRepublic",31.714650995036376,31.535791990396188,42.3654165564813,15.857325497518188,15.767895995198094,21.18270827824065,47.57197649255456,47.30368798559428,63.548124834721946
"DemocraticRepublicCongo",27.767124888029688,30.92952694610873,43.617372822365354,13.883562444014844,15.464763473054365,21.808686411182677,41.650687332044534,46.3942904191631,65.42605923354803
"Denmark",34.787144415309335,35.694654993878245,39.952815777824654,17.393572207654667,17.847327496939123,19.976407888912327,52.180716622964,53.54198249081737,59.92922366673698
"Djibouti",35.666591014820234,35.222306943773354,42.08767799956759,17.833295507410117,17.611153471886677,21.043838999783794,53.499886522230355,52.83346041566003,63.13151699935138
"Dominica",41.05895116616433,43.95069612965018,64.1702695579372,20.529475583082164,21.97534806482509,32.0851347789686,61.588426749246494,65.92604419447528,96.2554043369058
"DominicanRepublic",26.31493368089946,26.011476429086528,34.163543674377735,13.15746684044973,13.005738214543264,17.081771837188867,39.47240052134919,39.01721464362979,51.2453155115666
"Ecuador",27.55710061971788,29.731440043833118,43.88527849166052,13.77855030985894,14.865720021916559,21.94263924583026,41.335650929576815,44.59716006574968,65.82791773749078
"Egypt",45.53572833357251,46.16639672586603,51.024406271404345,22.767864166786254,23.083198362933015,25.512203135702173,68.30359250035876,69.24959508879904,76.53660940710651
"ElSalvador",32.35952255500163,34.24316567143742,48.72641245848612,16.179761277500816,17.12158283571871,24.36320622924306,48.53928383250245,51.36474850715612,73.08961868772917
"EquatorialGuinea",32.188718648719885,40.55132091459507,55.016620226427385,16.094359324359942,20.275660457297533,27.508310113213692,48.28307797307983,60.8269813718926,82.52493033964107
"Eritrea",36.64975522335732,41.695423517200794,50.62206639271639,18.32487761167866,20.847711758600397,25.311033196358196,54.974632835035976,62.54313527580119,75.93309958907459
"Estonia",31.958880912102128,33.015614907655625,37.61439509306469,15.979440456051064,16.507807453827812,18.807197546532343,47.93832136815319,49.52342236148344,56.42159263959703
"Swaziland",28.784383684153998,31.179184358594448,44.826908044720746,14.392191842076999,15.589592179297224,22.413454022360373,43.176575526231,46.76877653789167,67.24036206708112
"Ethiopia",30.605149171005557,32.78795481476128,48.01459209316404,15.302574585502779,16.39397740738064,24.00729604658202,45.90772375650833,49.18193222214192,72.02188813974607
"FalklandIslands",20.268604172916515,20.95434553255222,34.90287891363316,10.134302086458257,10.47717276627611,17.45143945681658,30.402906259374774,31.43151829882833,52.35431837044974
"FaroeIslands",33.347529277445744,33.433221165420825,38.037476940218696,16.673764638722872,16.716610582710413,19.018738470109348,50.02129391616862,50.149831748131234,57.05621541032804
"Fiji",33.59471807075436,35.47259185253164,46.31441968880065,16.79735903537718,17.73629592626582,23.157209844400324,50.39207710613154,53.20888777879746,69.47162953320097
