Country,waveNum,max,sum,spanDays,ratioSumSpan
The United Kingdom,4,0.100732913757924,4.789396239793377,85,0.0563458381152162
The United Kingdom,5,0.0316701705502781,2.027524747202648,126,0.016091466247640063
Türkiye,0,0.0036162115668954,0.20650365082680724,160,0.0012906478176675452
Türkiye,1,0.0283905471859709,2.758757884837184,238,0.01159141968418985
Türkiye,2,0.051718952767128,3.3932334849050254,139,0.024411751689964213
Türkiye,3,0.0334536130926995,3.792511670341678,154,0.024626699158062842
Türkiye,4,0.0982748161990538,7.5873292860784645,179,0.04238731444736572
Türkiye,5,0.040996784070597,2.141753218041624,129,0.016602738124353672
United States of America,0,0.0084392553681654,0.4973247486662884,145,0.0034298258528709545
United States of America,1,0.0184431550836908,1.4206500278148078,108,0.013154166924211183
United States of America,2,0.0632109404116765,6.827757719614715,189,0.03612570222018367
