,Date_reported,New_cases,SmoothedCases,cutDatesPV
303,2020-11-01,6309,10289.289112819071,0
304,2020-11-02,2662,9963.943932341375,0
305,2020-11-03,13843,9614.661925644328,0
306,2020-11-04,12082,9246.460919016914,0
307,2020-11-05,9213,8864.355102612792,0
308,2020-11-06,7644,8473.237129769594,0
309,2020-11-07,6638,8077.772501419371,0
310,2020-11-08,3044,7682.309654155077,0
311,2020-11-09,1449,7290.80816193459,0
312,2020-11-10,8613,6906.786373279024,0
313,2020-11-11,7662,6533.288716128,0
314,2020-11-12,2002,6172.871885030371,1
315,2020-11-13,6467,5827.60824367551,0
316,2020-11-14,5697,5499.104078611844,0
317,2020-11-15,2360,5188.529858112754,0
318,2020-11-16,1053,4896.659395166775,0
319,2020-11-17,5830,4623.9147786737185,0
320,2020-11-18,4824,4370.414099185342,0
321,2020-11-19,3681,4136.019319485022,0
322,2020-11-20,3007,3920.382082382287,0
323,2020-11-21,3075,3722.985761284723,0
324,2020-11-22,1258,3543.1825973777363,0
325,2020-11-23,585,3380.225289352832,0
326,2020-11-24,3944,3233.292873945296,0
327,2020-11-25,2865,3101.5111337393455,0
328,2020-11-26,2669,2983.968078274046,0
329,2020-11-27,2412,2879.7252602680373,0
330,2020-11-28,2724,2787.825813603738,0
331,2020-11-29,1001,2707.300142520649,0
332,2020-11-30,556,2637.1701652113843,0
333,2020-12-01,3286,2576.4529345711567,0
334,2020-12-02,2682,2524.1643392386454,0
335,2020-12-03,2598,2479.323443096441,0
336,2020-12-04,2361,2440.957862858658,0
337,2020-12-05,2549,2408.1104207150083,0
338,2020-12-06,1094,2379.847149474074,0
339,2020-12-07,596,2355.2665767381013,0
340,2020-12-08,3347,2333.510076657866,0
341,2020-12-09,2710,2313.7729564859046,0
342,2020-12-10,2749,2295.3158440710977,0
343,2020-12-11,2668,2277.4758653265017,0
344,2020-12-12,2885,2259.677051341789,0
345,2020-12-13,1581,2241.4393967782767,0
346,2020-12-14,735,2222.3860073617475,0
347,2020-12-15,3805,2202.2478262750788,0
348,2020-12-16,3200,2180.865516776603,0
349,2020-12-17,2753,2158.188198814386,0
350,2020-12-18,2733,2134.2688855496144,0
351,2020-12-19,2729,2109.256633735294,0
352,2020-12-20,1429,2083.385599752618,0
353,2020-12-21,635,2056.96136908685,0
354,2020-12-22,3308,2030.3450886689627,0
355,2020-12-23,2589,2003.936066636468,0
356,2020-12-24,2356,1978.1536018631468,0
357,2020-12-25,1719,1953.418857656532,0
358,2020-12-26,492,1930.1375951620973,0
359,2020-12-27,1098,1908.6845309220812,0
360,2020-12-28,530,1889.389982481462,0
361,2020-12-29,2641,1872.5293226465114,0
362,2020-12-30,2270,1858.315587192305,0
363,2020-12-31,1980,1846.8953853580142,0
364,2021-01-01,1626,1838.348061836345,0
365,2021-01-02,469,1832.6878680157586,0
366,2021-01-03,1051,1829.868732964428,0
367,2021-01-04,732,1829.7910930071475,0
368,2021-01-05,2907,1832.3101516680306,0
369,2021-01-06,2625,1837.2449044225134,0
370,2021-01-07,2302,1844.3872761995217,0
371,2021-01-08,1810,1853.5107808557727,0
372,2021-01-09,1935,1864.378214096559,0
373,2021-01-10,1302,1876.7480246287823,0
374,2021-01-11,808,1890.3791606101988,0
375,2021-01-12,2849,1905.034346509332,0
376,2021-01-13,2271,1920.481896151093,0
377,2021-01-14,2044,1936.4962989497174,0
378,2021-01-15,2023,1952.8579181420807,0
379,2021-01-16,2070,1969.3522050393904,0
380,2021-01-17,1141,1985.7688579712285,0
381,2021-01-18,697,2001.9013381783755,0
382,2021-01-19,2936,2017.5471001984527,0
383,2021-01-20,2344,2032.5088069952783,0
